00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;Day
98.36878547;75.85698956;58.03385734;52.13421427;48.62547918;47.72500735;49.83645855;57.16443625;94.20798457;158.0483327;206.5185581;244.0899693;260.3605638;228.0677807;178.3865759;149.4783249;133.7976946;146.3111481;185.9940104;215.0575152;208.4437048;173.7600137;150.5340505;114.6704308;3
80.2951492;56.47404762;49.72577211;48.13977187;48.13977187;53.39534128;94.72464155;153.7176307;167.3385739;156.8896312;145.6010413;145.383355;158.4445334;164.4153578;147.6224141;132.9752355;128.5593132;149.9547674;195.3268134;230.3432107;218.8369345;182.3278311;153.6865327;117.053037;1
80.40843797;56.55372709;49.79593041;48.20769248;48.20769248;53.47067699;94.85828895;153.9345116;167.5746726;157.1109874;145.8064704;145.588477;158.6680835;164.6473321;147.8306952;133.1628508;128.7406981;150.1663392;195.6024008;230.668203;219.1456925;182.5850782;153.9033697;117.2181877;1
93.23546418;71.18948653;54.31979217;50.04779933;48.23921842;48.70695487;60.24445378;91.58279542;137.8887032;172.8442067;182.8537665;190.4622793;204.4320077;209.4211965;195.2955559;181.6688342;177.4280238;210.6061288;256.7873069;264.6764615;230.8123431;174.5280579;155.9121475;137.1403249;2
98.9037526;76.26952891;58.34946768;52.41774009;48.88992316;47.98455421;50.10748829;57.47531835;94.72032367;158.9078601;207.6416851;245.417424;261.7765043;229.3081006;179.3567104;150.2912453;134.5253377;147.1068441;187.0055171;216.2270803;209.5773015;174.7049872;151.3527123;115.2940525;3
80.69662814;56.7564201;49.97440294;48.38047264;48.38047264;53.66232011;95.19826852;154.486225;168.1752734;157.6740856;146.3290523;146.1102775;159.2367623;165.2374411;148.3605321;133.6401169;129.2021149;150.7045472;196.3034552;231.494936;219.9311279;183.2394775;154.4549714;117.6383069;1
80.77587016;56.81215345;50.02347653;48.42798103;48.42798103;53.71501513;95.29175078;154.6379265;168.3404173;157.8289175;146.4727437;146.2537541;159.3931288;165.3997001;148.5062183;133.7713481;129.3289881;150.8525352;196.4962202;231.7222581;220.1470946;183.4194139;154.6066423;117.7538247;1
80.84690199;56.86211232;50.06746564;48.47056711;48.47056711;53.76225047;95.37554743;154.7739104;168.4884507;157.9677074;146.6015473;146.3823651;159.5332942;165.5451475;148.6368101;133.8889825;129.442716;150.9851903;196.6690129;231.9260275;220.3406852;183.5807073;154.7425986;117.8573738;1
80.909843;56.90638067;50.10644421;48.50830246;48.50830246;53.80410551;95.44979929;154.8944051;168.6196225;158.0906886;146.7156797;146.4963269;159.6574942;165.6740279;148.752527;133.9932179;129.5434899;151.1027355;196.8221239;232.1065868;220.5122251;183.7236288;154.863069;117.9491282;1
80.96481196;56.94504203;50.1404858;48.5412583;48.5412583;53.84065923;95.51464649;154.9996381;168.7341802;158.1980931;146.8153562;146.5958544;159.7659632;165.7865844;148.8535873;134.084251;129.6314999;151.2053924;196.955842;232.2642766;220.6620379;183.8484479;154.9682807;118.0292611;1
93.81319206;71.63060785;54.65638146;50.35791748;48.5381298;49.00876455;60.61775487;92.15028263;138.7431222;173.9152253;183.9868088;191.6424673;205.6987582;210.7188622;196.5056929;182.7945341;178.5274458;211.9111368;258.3784738;266.3165131;232.2425577;175.6095104;156.8782476;137.9901066;2
99.44637369;76.68797062;58.66959357;52.70532242;49.15815063;48.24781451;50.38239576;57.79064835;95.23999299;159.779685;208.7808811;246.7638711;263.2127031;230.5661663;180.340725;151.1157964;135.2633915;147.9139245;188.0314957;217.4133789;210.727117;175.6634808;152.183087;115.9265966;3
81.08306525;57.0282132;50.21371856;48.61215531;48.61215531;53.91929629;95.65415056;155.226023;168.9806251;158.4291496;147.0297876;146.8099652;159.9993096;166.0287242;149.0709956;134.2800879;129.8208334;151.4262357;197.2435061;232.6035106;220.9843262;184.1169681;155.1946198;118.2016489;1
81.10732164;57.04527347;50.22874024;48.62669787;48.62669787;53.93542651;95.68276596;155.2724597;169.0311765;158.4765444;147.0737722;146.8538841;160.0471742;166.0783925;149.1155909;134.3202585;129.8596699;151.4715356;197.3025125;232.673095;221.0504347;184.1720476;155.2410471;118.2370095;1
81.12419076;57.05713804;50.23918707;48.6368115;48.6368115;53.94664428;95.70266655;155.304754;169.0663325;158.5095052;147.1043614;146.8844275;160.0804616;166.1129344;149.1466048;134.3481951;129.8866788;151.5030394;197.3435485;232.7214876;221.0964099;184.2103526;155.2733349;118.2616011;1
81.13378772;57.06388788;50.24513035;48.64256522;48.64256522;53.95302615;95.71398815;155.3231265;169.086333;158.5282568;147.1217638;146.9018039;160.0993991;166.1325855;149.1642488;134.3640884;129.9020443;151.5209622;197.3668941;232.7490184;221.1225655;184.2321446;155.2917037;118.2755914;1
81.13622706;57.06560354;50.246641;48.64402769;48.64402769;53.95464828;95.71686585;155.3277964;169.0914166;158.533023;147.1261871;146.9062206;160.1042126;166.1375803;149.1687335;134.3681282;129.9059499;151.5255178;197.3728281;232.7560162;221.1292137;184.2376837;155.2963726;118.2791474;1
93.95180163;71.73644252;54.7371366;50.43232161;48.60984519;49.0811753;60.70731798;92.28643525;138.948116;174.1721861;184.2586504;191.9256202;206.0026794;211.0302006;196.7960313;183.0646142;178.7912212;212.2242369;258.7602296;266.7099974;232.5856976;175.8689745;157.1100362;138.1939878;2
99.53076626;76.75304986;58.71938199;52.75004942;49.19986741;48.28875876;50.42515147;57.83969087;95.32081592;159.9152779;208.9580576;246.9732808;263.4360717;230.7618302;180.4937665;151.2440369;135.3781792;148.0394478;188.1910637;217.597881;210.905945;175.812553;152.3122332;116.0249747;3
81.10173542;57.04134451;50.22528077;48.62334874;48.62334874;53.93171174;95.67617587;155.2617654;169.0195346;158.4656294;147.0636426;146.8437696;160.036151;166.066954;149.1053207;134.3110072;129.8507259;151.4611031;197.2889234;232.6570698;221.03521;184.1593628;155.2303549;118.228866;1
81.07667734;57.02372039;50.20976261;48.60832553;48.60832553;53.91504841;95.6466147;155.213794;168.9673125;158.4166681;147.0182042;146.7983991;159.9867045;166.0156441;149.0592515;134.269509;129.8106058;151.414306;197.2279668;232.5851855;220.9669165;184.1024629;155.1823933;118.1923368;1
81.04502513;57.00145842;50.1901608;48.58934891;48.58934891;53.89400006;95.60927441;155.1531988;168.9013479;158.3548225;146.9608085;146.7410893;159.9242459;165.9508319;149.001059;134.2170904;129.7599279;151.3551941;197.1509693;232.4943846;220.8806514;184.0305896;155.1218103;118.1461946;1
81.00688968;56.97463658;50.16654399;48.56648537;48.56648537;53.86864042;95.56428581;155.080192;168.8218719;158.2803092;146.8916566;146.6720408;159.8489942;165.8727443;148.9309471;134.153935;129.6988698;151.2839744;197.0582006;232.3849852;220.7767168;183.9439946;155.0488183;118.0906014;1
80.96238126;56.94333244;50.13898049;48.539801;48.539801;53.83904284;95.51177897;154.9949847;168.7291145;158.1933437;146.8109485;146.5914533;159.7611667;165.7816072;148.8491184;134.0802255;129.6276081;151.200853;196.949929;232.2573036;220.6554132;183.8429285;154.9636283;118.0257177;1
93.69702266;71.54190727;54.58870016;50.29555898;48.47802477;48.94807672;60.54269156;92.03617242;138.5713158;173.6998651;183.7589769;191.4051553;205.4440403;210.4579278;196.2623588;182.5681786;178.3063742;211.6487261;258.0585223;265.9867319;231.9549705;175.3920521;156.6839844;137.8192327;2
99.20512684;76.50193336;58.52726707;52.57746464;49.03889793;48.13077019;50.26017316;57.65045408;95.00895039;159.3920756;208.2743998;246.1652469;262.5741757;230.0068361;179.9032367;150.7492047;134.9352562;147.5551003;187.5753503;216.885956;210.2159143;175.237339;151.8139062;115.6453704;3
80.79171179;56.82329535;50.03328704;48.43747864;48.43747864;53.72554963;95.31043923;154.6682538;168.3734319;157.8598706;146.5014696;146.2824371;159.4243887;165.432138;148.5353431;133.7975831;129.3543519;150.8821202;196.5347567;231.767703;220.1902695;183.4553858;154.6369635;117.7769183;1
80.72280206;56.77482903;49.99061212;48.39616483;48.39616483;53.67972546;95.22914604;154.5363325;168.229821;157.7252271;146.376514;146.1576683;159.2884107;165.2910358;148.4086527;133.6834631;129.2440216;150.7534282;196.3671262;231.5700213;220.0024625;183.2989111;154.5050689;117.6764628;1
80.64806162;56.72226177;49.94432631;48.3513553;48.3513553;53.63002393;95.14097432;154.3932489;168.0740587;157.5791909;146.2409855;146.0223424;159.1409272;165.1379945;148.2712426;133.5596869;129.1243558;150.6138471;196.1853118;231.3556129;219.7987644;183.1291965;154.3620141;117.5675073;1
80.56759708;56.66566859;49.89449564;48.30311398;48.30311398;53.57651595;95.04604985;154.239207;167.9063671;157.4219703;146.0950773;145.8766524;158.9821484;164.9732323;148.1233088;133.4264311;128.9955253;150.463576;195.9895729;231.1247837;219.5794658;182.946484;154.2080034;117.4502074;1
80.48151448;56.60512405;49.84118577;48.25150442;48.25150442;53.51927202;94.94449772;154.0744098;167.7269672;157.2537725;145.9389817;145.7207902;158.8122836;164.7969663;147.9650462;133.2838714;128.8576998;150.3028129;195.7801675;230.877838;219.3448557;182.7510145;154.0432396;117.3247175;1
93.09289639;71.08062958;54.23673094;49.97127047;48.16545509;48.63247631;60.15233305;91.44275474;137.6778555;172.5799079;182.574162;190.1710405;204.1194076;209.1009673;194.9969264;181.3910416;177.1567159;210.2840877;256.3946494;264.2717406;230.4594044;174.2611843;155.6737398;136.9306215;2
98.51586299;75.97040823;58.1206275;52.2121635;48.69818227;47.79636408;49.91097225;57.24990649;94.34884101;158.284641;206.8273374;244.4549239;260.7498457;228.4087796;178.6532932;149.7018196;133.9977442;146.5299073;186.2721021;215.3790616;208.7553625;174.0198135;150.7591237;114.841882;3
